"","x"
"4270","PRICKLE2"
"4271","CCNL1"
"4272","PTX3"
"4273","HESX1"
"4274","SLMAP"
"4275","C3orf67"
"4276","IL17RC"
"4277","SYN1"
"4278","PCOLCE2"
"4279","MTMR14"
"4280","CXCL3"
"4281","CXCL5"
"4282","PPBP"
"4283","PF4"
"4284","SHROOM3"
"4285","CPA3"
"4286","HPS3"
"4287","SNRK"
"4288","TCF23"
"4289","DNAJC5G"
"4290","TRIM54"
"4291","UCN"
"4292","MRPL33"
"4293","TGM4"
"4294","ZDHHC3"
"4295","CDCP1"
"4296","CLEC3B"
"4297","LZTFL1"
"4298","FYCO1"
"4299","CCR1"
"4300","RTP3"
"4301","TDGF1"
"4302","ELP6"
"4303","DTX3L"
"4304","ITGB5"
"4305","SNIP1"
"4306","OSBPL11"
"4307","KLF15"
"4308","CAMK2N2"
"4309","LIPH"
"4310","RPN1"
"4311","SENP2"
"4312","IFT122"
"4313","RHO"
"4314","RPL39L"
"4315","MASP1"
"4316","RFT1"
"4317","IL17RD"
"4318","ZDHHC19"
"4319","SLC51A"
"4320","UBXN7"
"4321","PIGX"
"4322","KIAA0226"
"4323","MFI2"
"4324","OTOP1"
"4325","S100P"
"4326","CLDN19"
"4327","METAP1"
"4328","ADH5"
"4329","H2AFZ"
"4330","EMCN"
"4331","SLC9B1"
"4332","BDH2"
"4333","CAMP"
"4334","TREX1"
"4335","BSN"
"4336","APEH"
"4337","HSPA4L"
"4338","MFSD8"
"4339","MON1A"
"4340","MST1R"
"4341","POC1A"
"4342","ETNPPL"
"4343","WDR82"
"4344","PRSS12"
"4345","NDST3"
"4346","HMGB2"
"4347","SAP30"
"4348","SCRG1"
"4349","MAD2L1"
"4350","ANXA5"
"4351","ADAD1"
"4352","GUCY1A3"
"4353","HPGD"
"4354","ASB5"
"4355","GRIA2"
"4356","TMEM144"
"4357","NAA15"
"4358","IL15"
"4359","HHIP"
"4360","ABCE1"
"4361","ITGA2"
"4362","SLC45A2"
"4363","EDIL3"
"4364","NDUFAF2"
"4365","STARD4"
"4366","F2RL2"
"4367","CMBL"
"4368","RPS23"
"4369","F2RL1"
"4370","PRDM9"
"4371","NDUFS4"
"4372","SCGB3A2"
"4373","SPINK1"
"4374","TCERG1"
"4375","TIGD6"
"4376","ENPP6"
"4377","ERAP1"
"4378","MAP1B"
"4379","CARTPT"
"4380","RICTOR"
"4381","ANKRA2"
"4382","UBLCP1"
"4383","UTP15"
"4384","TLR3"
"4385","GFM2"
"4386","CCDC127"
"4387","FOXQ1"
"4388","RAPGEF6"
"4389","TNFRSF21"
"4390","IL3"
"4391","CSF2"
"4392","LEAP2"
"4393","TLX3"
"4394","NPM1"
"4395","T"
"4396","CREBRF"
"4397","DCBLD1"
"4398","IL22RA2"
"4399","HIST1H2AA"
"4400","SCIN"
"4401","CYTH3"
"4402","DAGLB"
"4403","TRA2A"
"4404","GALNT10"
"4405","SAP30L"
"4406","MYOZ3"
"4407","COG5"
"4408","NEUROD6"
"4409","C7orf60"
"4410","GPR85"
"4411","SLU7"
"4412","CAMLG"
"4413","RP9"
"4414","BMPER"
"4415","HSPA9"
"4416","STEAP1"
"4417","FABP5"
"4418","SHH"
"4419","CHMP4C"
"4420","FNDC1"
"4421","COL1A2"
"4422","CASD1"
"4423","SLC13A4"
"4424","PGAM2"
"4425","LMTK2"
"4426","SLC35G3"
"4427","RGS20"
"4428","SOX17"
"4429","ADCY1"
"4430","RAD21"
"4431","MED30"
"4432","TNFRSF11B"
"4433","SBSPON"
"4434","EN2"
"4435","CSMD3"
"4436","ORC5"
"4437","DEFA6"
"4438","DEFB1"
"4439","TMEM74"
"4440","TMEM184A"
"4441","NOS3"
"4442","ABCB8"
"4443","MICALL2"
"4444","ASIC3"
"4445","SLC7A13"
"4446","FASTK"
"4447","C7orf55"
"4448","PHAX"
"4449","AP5Z1"
"4450","SLC25A32"
"4451","DCAF13"
"4452","DCSTAMP"
"4453","KIAA1429"
"4454","GEM"
"4455","RPP25L"
"4456","KIAA1161"
"4457","TMEM65"
"4458","UBAP1"
"4459","CNTNAP3"
"4460","HSD3B7"
"4461","NFIL3"
"4462","ZMAT4"
"4463","PRSS37"
"4464","CPA6"
"4465","TMC1"
"4466","ALDH1A1"
"4467","KDM1B"
"4468","KIF27"
"4469","ANKS6"
"4470","COL14A1"
"4471","ZHX1"
"4472","CXorf22"
"4473","WBSCR27"
"4474","FIGF"
"4475","WNK2"
"4476","AQP7"
"4477","NOL6"
"4478","AQP3"
"4479","TRMT10B"
"4480","ARMC3"
"4481","MELK"
"4482","GPR101"
"4483","LRFN5"
"4484","LRRC18"
"4485","WDFY2"
"4486","SPTSSA"
"4487","WRN"
"4488","CFL2"
"4489","PGM2L1"
"4490","FOLR2"
"4491","INPPL1"
"4492","PHOX2A"
"4493","CRYL1"
"4494","HEPACAM"
"4495","PCF11"
"4496","PKNOX2"
"4497","RPL10L"
"4498","LRR1"
"4499","DNAAF2"
"4500","C10orf10"
"4501","ZNF22"
"4502","KLHDC2"
"4503","NEMF"
"4504","ARF6"
"4505","RPUSD4"
"4506","TMEM63C"
"4507","NGB"
"4508","TRIM9"
"4509","AKR1E2"
"4510","RXFP2"
"4511","SEC61A2"
"4512","OXGR1"
"4513","SLC18A2"
"4514","PRDX3"
"4515","CLEC1B"
"4516","SNAPC4"
"4517","FRMD7"
"4518","AK8"
"4519","TSC1"
"4520","HPRT1"
"4521","DUSP16"
"4522","STOX1"
"4523","JAKMIP3"
"4524","STK32C"
"4525","SLC39A2"
"4526","ARHGEF40"
"4527","METTL3"
"4528","GAS1"
"4529","TRUB1"
"4530","ARHGAP42"
"4531","TTLL5"
"4532","RAPSN"
"4533","CPSF2"
"4534","CAPRIN2"
"4535","LRRK2"
"4536","CLMN"
"4537","NELL1"
"4538","C1QL3"
"4539","PIWIL4"
"4540","LIPC"
"4541","TCP11L2"
"4542","SPRED1"
"4543","JAM3"
"4544","VPS35"
"4545","AMN"
"4546","IKBIP"
"4547","FOXN4"
"4548","HIF1AN"
"4549","ADAMTS15"
"4550","NDUFB8"
"4551","AVPR1A"
"4552","HEATR3"
"4553","CKB"
"4554","LARP6"
"4555","HPS6"
"4556","COPS2"
"4557","CHODL"
"4558","PCBD1"
"4559","CCT2"
"4560","TMEM132B"
"4561","GNPTAB"
"4562","COX11"
"4563","FAM227B"
"4564","CLDN10"
"4565","C2"
"4566","TAF10"
"4567","TPP1"
"4568","MSS51"
"4569","RAG1"
"4570","DCHS1"
"4571","POTED"
"4572","PPFIBP2"
"4573","IDH3A"
"4574","CRABP1"
"4575","CHRNA5"
"4576","LEO1"
"4577","TMX3"
"4578","ALG8"
"4579","HDGFRP3"
"4580","CLEC3A"
"4581","CLEC4E"
"4582","CLEC4D"
"4583","ZNF407"
"4584","TK2"
"4585","A2ML1"
"4586","TMED3"
"4587","SLC38A8"
"4588","CPLX4"
"4589","GALR1"
"4590","CENPV"
"4591","CDH16"
"4592","RRAD"
"4593","MC4R"
"4594","HSP90B1"
"4595","SLC9A5"
"4596","NCAPH2"
"4597","PPP1R16B"
"4598","CHRFAM7A"
"4599","POLR3E"
"4600","MMP3"
"4601","TMPRSS5"
"4602","COG1"
"4603","PPIB"
"4604","FAM96A"
"4605","KIAA0101"
"4606","LDHD"
"4607","PLIN1"
"4608","PEX11A"
"4609","ANPEP"
"4610","SCNN1G"
"4611","RBPMS2"
"4612","GLYATL1"
"4613","TERF2IP"
"4614","DCTN5"
"4615","PLK1"
"4616","CACNG2"
"4617","CLPX"
"4618","CHP2"
"4619","NAB2"
"4620","STAT6"
"4621","XRCC6BP1"
"4622","PATL1"
"4623","MRPL16"
"4624","SCG5"
"4625","AGFG2"
"4626","NYAP1"
"4627","TSC22D4"
"4628","MS4A7"
"4629","METTL21B"
"4630","CCNDBP1"
"4631","EPB42"
"4632","MS4A8"
"4633","MAP1A"
"4634","MAPRE2"
"4635","EVA1C"
"4636","CKMT1B"
"4637","PDIA3"
"4638","NUDT21"
"4639","NAT16"
"4640","RUNX1"
"4641","TPX2"
"4642","B4GALNT2"
"4643","SNRPD1"
"4644","COQ4"
"4645","SLC27A4"
"4646","TBC1D21"
"4647","COL6A2"
"4648","PRR15L"
"4649","GPRC5B"
"4650","CRK"
"4651","TBC1D2B"
"4652","NOD2"
"4653","HDHD2"
"4654","GCN1L1"
"4655","MED1"
"4656","PGAP3"
"4657","NFATC3"
"4658","ATP5L"
"4659","CD3D"
"4660","ENTHD2"
"4661","RRM1"
"4662","TRIM68"
"4663","OR51Q1"
"4664","FN3K"
"4665","GNG8"
"4666","USP32"
"4667","CA4"
"4668","RAB8A"
"4669","PCSK4"
"4670","JSRP1"
"4671","MVD"
"4672","PIEZO1"
"4673","CDT1"
"4674","TRAPPC2L"
"4675","ANKRD11"
"4676","SGK494"
"4677","PROCA1"
"4678","LALBA"
"4679","CACNB3"
"4680","WNT10B"
"4681","KMT2D"
"4682","RHEBL1"
"4683","TUBA1A"
"4684","TUBA1C"
"4685","CYP2A6"
"4686","CYP2A7"
"4687","GPD1"
"4688","PRODH2"
"4689","AXL"
"4690","DIP2B"
"4691","CDC42EP5"
"4692","TMEM145"
"4693","PPP1R14A"
"4694","SPINT2"
"4695","C19orf33"
"4696","PSCA"
"4697","LY6D"
"4698","CHAF1A"
"4699","UBXN6"
"4700","PLIN4"
"4701","SLC39A4"
"4702","MFSD3"
"4703","GLOD4"
"4704","KIFC2"
"4705","TSR1"
"4706","TRPV3"
"4707","CYB5D2"
"4708","PELP1"
"4709","KLK1"
"4710","ACER1"
"4711","SLC25A23"
"4712","ANGPTL4"
"4713","NDUFA7"
"4714","CD320"
"4715","RCOR2"
"4716","IGFBP6"
"4717","SOAT2"
"4718","ZNF560"
"4719","CDK2AP2"
"4720","PRDX2"
"4721","ICT1"
"4722","ATP5H"
"4723","EVPL"
"4724","BIRC5"
"4725","TK1"
"4726","CYP7A1"
"4727","KRT16"
"4728","GSDMA"
"4729","GHDC"
"4730","SOST"
"4731","UNKL"
"4732","E4F1"
"4733","ECI1"
"4734","ABCA3"
"4735","KCTD5"
"4736","SRRM2"
"4737","ZNF597"
"4738","SDHAF2"
"4739","DDB1"
"4740","VPS37C"
"4741","HNRNPUL2"
"4742","POLR2G"
"4743","HRASLS5"
"4744","ENTPD3"
"4745","ULK4"
"4746","FADD"
"4747","LTBP3"
"4748","BATF2"
"4749","SLC22A11"
"4750","SCARA3"
"4751","PNOC"
"4752","SOX7"
"4753","TRIM35"
"4754","TMEM256"
"4755","ANTXR1"
"4756","ACSM1"
"4757","USP42"
"4758","MYRIP"
"4759","MFF"
"4760","RNASE6"
"4761","ECEL1"
"4762","C3AR1"
"4763","LGALS4"
"4764","PANK1"
"4765","MGMT"
"4766","PRELID1"
"4767","TRIM8"
"4768","PRL"
"4769","LSM3"
"4770","MBOAT2"
"4771","NHLH1"
"4772","ATP6V1G2"
"4773","ATOH1"
"4774","ALKBH3"
"4775","CCL11"
"4776","GBX2"
"4777","C8orf46"
"4778","C1QTNF4"
"4779","EMB"
"4780","LGI3"
"4781","RNASE3"
"4782","LDHAL6B"
"4783","TPST1"
"4784","NANP"
"4785","KLF13"
"4786","HSPB2"
"4787","POLR1D"
"4788","CSDC2"
"4789","MAP2K1"
"4790","BUB1"
"4791","MDM1"
"4792","HOXD4"
"4793","HSPBAP1"
"4794","BCL2L1"
"4795","CLEC7A"
"4796","FAM84B"
"4797","SCEL"
"4798","KBTBD2"
"4799","FUT9"
"4800","AGXT"
"4801","LRG1"
"4802","AXIN2"
"4803","CHSY3"
"4804","ONECUT1"
"4805","UBTF"
"4806","RALGAPA1"
"4807","NRTN"
"4808","ABHD15"
"4809","IGF1"
"4810","GPR22"
"4811","MUC17"
"4812","KCNAB3"
"4813","INSL5"
"4814","GUSB"
"4815","PAIP1"
"4816","TRAPPC1"
"4817","XPO6"
"4818","TRMT61B"
"4819","DDI1"
"4820","MTNR1A"
"4821","OTP"
"4822","MAEA"
"4823","HOXC9"
"4824","DNAJC18"
"4825","PTGER4"
"4826","SLC23A1"
"4827","PA2G4"
"4828","ARAP2"
"4829","RPS9"
"4830","AURKC"
"4831","IL16"
"4832","DYNLRB2"
"4833","WFDC13"
"4834","HSPA4"
"4835","HDAC3"
"4836","SPRY3"
"4837","ZRSR2"
"4838","AFAP1L2"
"4839","PPIC"
"4840","GOT1L1"
"4841","VAT1L"
"4842","TMED10"
"4843","MAT2A"
"4844","TMEM37"
"4845","GPR27"
"4846","COL22A1"
"4847","CCDC8"
"4848","UGT1A6"
"4849","RGL1"
"4850","REG1B"
"4851","PCSK9"
"4852","ACHE"
"4853","SEMA3E"
"4854","MTCH2"
"4855","ACOT12"
"4856","ZNF804A"
"4857","RNASE2"
"4858","JUNB"
"4859","TACR3"
"4860","DCXR"
"4861","LMAN2"
"4862","HIST1H2AE"
"4863","HSPB3"
"4864","MTBP"
"4865","FNTA"
"4866","PTGDR"
"4867","PDS5A"
"4868","USP38"
"4869","TSNARE1"
"4870","TRH"
"4871","REEP4"
"4872","BCR"
"4873","FRMD3"
"4874","PEX6"
"4875","TACR1"
"4876","CBR4"
"4877","DEFB4A"
"4878","SCN1A"
"4879","CYTL1"
"4880","ANKMY2"
"4881","NUDT9"
"4882","N6AMT1"
"4883","LRP8"
"4884","NTSR2"
"4885","CDC25A"
"4886","UBE2E1"
"4887","PPID"
"4888","HTRA3"
"4889","INSR"
"4890","DCLK2"
"4891","TWF2"
"4892","ABR"
"4893","MZB1"
"4894","CTLA4"
"4895","GP9"
"4896","ABCC8"
"4897","CTRB2"
"4898","TMEM43"
"4899","GTPBP2"
"4900","FOXA3"
"4901","STARD5"
"4902","RNF139"
"4903","FAM83B"
"4904","COPS6"
"4905","FAM171B"
"4906","KCNG3"
"4907","SCG2"
"4908","PITX2"
"4909","PCNX"
"4910","HIPK3"
"4911","HINT1"
"4912","CD14"
"4913","CDK5R2"
"4914","TM4SF1"
"4915","RAC3"
"4916","FOXI1"
"4917","CHRNB1"
"4918","ANKRD27"
"4919","GSX1"
"4920","PYDC1"
"4921","POP7"
"4922","CCDC126"
"4923","SMYD4"
"4924","C1GALT1C1"
"4925","RAB24"
"4926","COL3A1"
"4927","KREMEN2"
"4928","SNX7"
"4929","KNDC1"
"4930","HAS3"
"4931","THOP1"
"4932","ADORA2B"
"4933","SIX2"
"4934","MPLKIP"
"4935","ANKS3"
"4936","FASN"
"4937","ZNHIT1"
"4938","MAGI3"
"4939","FAM134B"
"4940","CALML6"
"4941","CTNNA1"
"4942","RNFT1"
"4943","ATOH8"
"4944","THAP11"
"4945","UBB"
"4946","P2RY1"
"4947","ZNF467"
"4948","CES3"
"4949","SLC26A5"
"4950","DTYMK"
"4951","UGT2B7"
"4952","CSN3"
"4953","UGT1A8"
"4954","NUDCD2"
"4955","ATP6V1E2"
"4956","IRS1"
"4957","CD2BP2"
"4958","TXNDC2"
"4959","IL13"
"4960","LRRC28"
"4961","SOSTDC1"
"4962","ROBO4"
"4963","MN1"
"4964","BFSP2"
"4965","RFXANK"
"4966","GIMAP8"
"4967","SOCS5"
"4968","TRIM56"
"4969","CKAP2L"
"4970","UGT2B4"
"4971","SRP9"
"4972","IRX1"
"4973","STX8"
"4974","GNB2"
"4975","NLGN2"
"4976","SLC6A19"
"4977","FSTL5"
"4978","SOX14"
"4979","PRKCB"
"4980","ADRB2"
"4981","S1PR1"
"4982","CEBPB"
"4983","TUB"
"4984","COG7"
"4985","CNNM3"
"4986","COG8"
"4987","PDILT"
"4988","FEN1"
"4989","SPATA5L1"
"4990","SIRPG"
"4991","THAP9"
"4992","PCBP1"
"4993","B3GNT2"
"4994","FUT3"
"4995","CPLX1"
"4996","NXNL1"
"4997","HOMER2"
"4998","VAMP5"
"4999","CXCL10"
"5000","LETM1"
"5001","TRABD"
"5002","SDPR"
"5003","MRPL39"
"5004","GAA"
"5005","HOOK3"
"5006","KCTD19"
"5007","BMP1"
"5008","IBTK"
"5009","CHST11"
"5010","CST1"
"5011","LRTOMT"
"5012","CSNK1G1"
"5013","SF3B3"
"5014","STX18"
"5015","GPRIN1"
"5016","TM4SF4"
"5017","NMUR1"
"5018","TMEM208"
"5019","SUV420H1"
"5020","UTF1"
"5021","BRD3"
"5022","HTRA4"
"5023","PPP4R4"
"5024","OTUD7A"
"5025","USH2A"
"5026","SLCO1A2"
"5027","SIK2"
"5028","ALCAM"
"5029","PGK2"
"5030","ATP5I"
"5031","ARF4"
"5032","SYNPO2"
"5033","NUDT6"
"5034","RNMTL1"
"5035","FGB"
"5036","PAM"
"5037","DDX19A"
"5038","RPAP1"
"5039","PRKCE"
"5040","DRD5"
"5041","GRM5"
"5042","IL7R"
"5043","ANKRD2"
"5044","ANTXR2"
"5045","SLAMF1"
"5046","MMGT1"
"5047","FOS"
"5048","ITPR1"
"5049","KRT78"
"5050","KCNK3"
"5051","C14orf142"
"5052","SLC25A33"
"5053","YWHAG"
"5054","RFX2"
"5055","TMEM135"
"5056","FGA"
"5057","TBCA"
"5058","ZNF3"
"5059","PRSS27"
"5060","RNF187"
"5061","UQCRFS1"
"5062","ARMC4"
"5063","CHCHD7"
"5064","GPR37"
"5065","B4GALT6"
"5066","SPRR1B"
"5067","SHCBP1"
"5068","CHRM1"
"5069","RAB33B"
"5070","KCNJ4"
"5071","CXCL8"
"5072","CAMTA1"
"5073","INSM2"
"5074","DESI2"
"5075","MRPL13"
"5076","OGG1"
"5077","ISG20"
"5078","ADH1B"
"5079","PPIH"
"5080","ASPSCR1"
"5081","SLC9C1"
"5082","RGPD8"
"5083","ADRA1B"
"5084","ANKK1"
"5085","PPM1D"
"5086","BOLA2B"
"5087","NEUROD2"
"5088","LDB2"
"5089","ARL6IP1"
"5090","RBKS"
"5091","AVEN"
"5092","SEMA4C"
"5093","VASN"
"5094","GABARAP"
"5095","SEC23A"
"5096","CXCL11"
"5097","TMEM126A"
"5098","FAM151A"
"5099","ETV5"
"5100","RNF181"
"5101","GLB1"
"5102","CDCA7"
"5103","YEATS2"
"5104","HAS2"
"5105","MYOZ2"
"5106","ESCO2"
"5107","APLF"
"5108","KLF11"
"5109","SDC2"
"5110","KIF5B"
"5111","MAP6"
"5112","DEGS2"
"5113","CST5"
"5114","CTNND2"
"5115","DONSON"
"5116","PATE1"
"5117","ING2"
"5118","ASL"
"5119","DNAJB7"
"5120","AHSP"
"5121","BPTF"
"5122","LCMT2"
"5123","PCDHB1"
"5124","EIF2AK3"
"5125","PDHB"
"5126","P2RY12"
"5127","TBL2"
"5128","IRF2BP1"
"5129","RPTOR"
"5130","SCAMP3"
"5131","MYL1"
"5132","MCM7"
"5133","PRKCDBP"
"5134","CHST14"
"5135","FEM1B"
"5136","DDIT4"
"5137","HCN1"
"5138","MLLT10"
"5139","MGAT2"
"5140","SLC22A25"
"5141","NECAB2"
"5142","ARNT2"
"5143","WDR48"
"5144","CALB2"
"5145","MRC2"
"5146","TMPRSS11E"
"5147","CST2"
"5148","NPTX1"
"5149","NINJ2"
"5150","QARS"
"5151","SCN11A"
"5152","SDR16C5"
"5153","AGAP1"
"5154","TTC36"
"5155","CANT1"
"5156","TADA3"
"5157","KCNS1"
"5158","ACOX2"
"5159","TSPAN5"
"5160","HIST1H1E"
"5161","MT1E"
"5162","OR2C1"
"5163","CMTM8"
"5164","ZNF608"
"5165","HTR1E"
"5166","CYCS"
"5167","ZPLD1"
"5168","NPFFR2"
"5169","FBXO22"
"5170","DRAP1"
"5171","MUS81"
"5172","PCMTD2"
"5173","U2AF2"
"5174","RPL13"
"5175","GLUL"
"5176","CHST2"
"5177","GCC2"
"5178","EEF2"
"5179","DST"
"5180","RFNG"
"5181","METTL18"
"5182","TUT1"
"5183","PABPC5"
"5184","TADA2B"
"5185","PCSK1"
"5186","CYP2S1"
"5187","SNCB"
"5188","CD248"
"5189","ATP6V0A4"
"5190","WDR3"
"5191","RNASEH2C"
"5192","MMP14"
"5193","RGMB"
"5194","COMMD1"
"5195","PTDSS2"
"5196","MRPL38"
"5197","PODN"
"5198","PPP1R3B"
"5199","UTP23"
"5200","ATP5S"
"5201","SEC16B"
"5202","MLKL"
"5203","TIGD3"
"5204","P2RY14"
"5205","LEMD3"
"5206","H2AFV"
"5207","RPS6KB2"
"5208","CYB5B"
"5209","KRT17"
"5210","RND1"
"5211","EIF4EBP3"
"5212","GPR171"
"5213","ARL10"
"5214","DCAKD"
"5215","GEMIN2"
"5216","GOLT1A"
"5217","F2"
"5218","MEPCE"
"5219","ZNHIT2"
"5220","RHOD"
"5221","APITD1"
"5222","GAL3ST3"
"5223","DLEC1"
"5224","AGR3"
"5225","GPD2"
"5226","GLE1"
"5227","DPY19L1"
"5228","TCP11"
"5229","INHBC"
"5230","MRPL48"
"5231","PRSS1"
"5232","GABRB3"
"5233","GPR151"
"5234","CLOCK"
"5235","CBX2"
"5236","TMOD3"
"5237","ZBTB21"
"5238","SULT1B1"
"5239","ANKS4B"
"5240","GP6"
"5241","CCL19"
"5242","RIC3"
"5243","SNED1"
"5244","SLC19A1"
"5245","MRPL11"
"5246","ZCCHC12"
"5247","TLR10"
"5248","PLG"
"5249","HLTF"
"5250","VWC2L"
"5251","VCPIP1"
"5252","TSPAN17"
"5253","CATSPER1"
"5254","GMPPB"
"5255","B3GNT1"
"5256","PTPN7"
"5257","RBFOX1"
"5258","OLR1"
"5259","NSUN5"
"5260","BCL2L14"
"5261","MARCH3"
"5262","PDE12"
"5263","RCE1"
"5264","EIF1AD"
"5265","SH3RF3"
"5266","SPERT"
"5267","UBE3C"
"5268","POMZP3"
"5269","USP48"
"5270","CHST1"
"5271","RPL15"
"5272","CLCF1"
"5273","CD164"
"5274","CLTB"
"5275","ZDHHC24"
"5276","PIGS"
"5277","TUBB8B"
"5278","FAM134C"
"5279","HOXB9"
"5280","VPS41"
"5281","LIPT2"
"5282","PSMD1"
"5283","ACO1"
"5284","GPRC6A"
"5285","NWD2"
"5286","SLC26A7"
"5287","PHYHD1"
"5288","DAPL1"
"5289","DPYSL2"
"5290","PGA5"
"5291","PDP2"
"5292","HCFC1"
"5293","C19orf70"
"5294","UQCRH"
"5295","KLF7"
"5296","TERT"
"5297","PRKACA"
"5298","C10orf2"
"5299","MAP3K11"
"5300","METTL2A"
"5301","XXYLT1"
"5302","CA5A"
"5303","GLIS1"
"5304","LRCH4"
"5305","SH3PXD2B"
"5306","SLCO4C1"
"5307","APOBEC3F"
"5308","SLC16A13"
"5309","LPL"
"5310","NLRP6"
"5311","CPED1"
"5312","MRGPRF"
"5313","TBC1D16"
"5314","RPL38"
"5315","NARF"
"5316","TBX5"
"5317","SPNS1"
"5318","EFEMP2"
"5319","ADAM17"
"5320","CNIH2"
"5321","NR1D2"
"5322","ADAT1"
"5323","CD34"
"5324","ZNF622"
"5325","TAOK2"
"5326","HSPB7"
"5327","PPP1R14B"
"5328","ALG10B"
"5329","PSMD2"
"5330","CYP2W1"
"5331","FOSL1"
"5332","NRIP3"
"5333","SLC5A6"
"5334","HSPA6"
"5335","RAB1B"
"5336","SLC22A13"
"5337","RASGRP1"
"5338","INTS6"
"5339","TNFRSF10D"
"5340","BANF1"
"5341","SP3"
"5342","P2RY2"
"5343","FBXO45"
"5344","RMI2"
"5345","MLC1"
"5346","XCR1"
"5347","RIN1"
"5348","LMAN1L"
"5349","AIM1L"
"5350","GLS2"
"5351","SART1"
"5352","SLC16A11"
"5353","ARHGAP1"
"5354","ERCC4"
"5355","SEC22A"
"5356","ADCK5"
"5357","LCLAT1"
"5358","KCNE3"
"5359","ARHGAP32"
"5360","DSEL"
"5361","PSMC5"
"5362","PCP2"
"5363","MAP9"
"5364","LSM1"
"5365","APOBEC4"
"5366","ISCU"
"5367","MRGPRD"
"5368","BRSK1"
"5369","NDST2"
"5370","PDE7B"
"5371","NUP93"
"5372","CCAR2"
"5373","FBXW8"
"5374","ABCD2"
"5375","B4GALT2"
"5376","CYP7B1"
"5377","MOS"
"5378","DDX23"
"5379","MRPL57"
"5380","GLIPR1L1"
"5381","CTSF"
"5382","FANCI"
"5383","KRT2"
"5384","COQ2"
"5385","MAL"
"5386","CSRP2"
"5387","PPARD"
"5388","MADD"
"5389","PHYKPL"
"5390","NAGPA"
"5391","MAPK7"
"5392","ELF5"
"5393","ABCC12"
"5394","CASP3"
"5395","CD200R1"
"5396","CKS1B"
"5397","CYP4A11"
"5398","PSMA8"
"5399","VEGFB"
"5400","DHX37"
"5401","AQP1"
"5402","WFIKKN2"
"5403","NPAS4"
"5404","TRIM59"
"5405","ZMAT3"
"5406","ACOT1"
"5407","DNAH7"
"5408","ELF4"
"5409","PROP1"
"5410","SLCO2A1"
"5411","CTSW"
"5412","CST6"
"5413","ATG4D"
"5414","ATP8B3"
"5415","WDR49"
"5416","PPP2R1B"
"5417","RAD9A"
"5418","MUCL1"
"5419","POLD4"
"5420","DSCR3"
"5421","ADCY6"
"5422","SNX33"
"5423","ZWILCH"
"5424","RPL4"
"5425","ABRA"
"5426","ASPHD1"
"5427","RAB6A"
"5428","PDE8A"
"5429","GSTM1"
"5430","ISX"
"5431","HEG1"
"5432","IQCB1"
"5433","RSF1"
"5434","GPR162"
"5435","ARR3"
"5436","EMR1"
"5437","TNKS"
"5438","SPSB4"
"5439","UGT8"
"5440","GRAMD2"
"5441","PAAF1"
"5442","PPP1R8"
"5443","SPEG"
"5444","NIPAL4"
"5445","CCDC85B"
"5446","FGF5"
"5447","RTP1"
"5448","OXSR1"
"5449","CMKLR1"
"5450","KLK10"
"5451","RBM14"
"5452","TTC9B"
"5453","ATAD3B"
"5454","ZMIZ2"
"5455","REST"
"5456","CTBP2"
"5457","SLC37A2"
"5458","SNTG2"
"5459","PTPN2"
"5460","DAW1"
"5461","LTBP4"
"5462","GGA2"
"5463","DUS3L"
"5464","CARKD"
"5465","NEFH"
"5466","HAVCR2"
"5467","FUT1"
"5468","CD7"
"5469","UCP2"
"5470","SRP68"
"5471","SSH3"
"5472","TLR8"
"5473","ADCY4"
"5474","KCNG4"
"5475","PRG2"
"5476","TNS3"
"5477","TRIB1"
"5478","BTN2A1"
"5479","ELMO1"
"5480","ZHX3"
"5481","DTD2"
"5482","MSL3"
"5483","ADPGK"
"5484","ADRBK1"
"5485","YPEL2"
"5486","LGI4"
"5487","ZNF507"
"5488","SPESP1"
"5489","PLA2G1B"
"5490","MOBP"
"5491","TPMT"
"5492","MRPL46"
"5493","SSSCA1"
"5494","AOC3"
"5495","TRMT10C"
"5496","CD84"
"5497","KMT2E"
"5498","KLHL3"
"5499","CCDC63"
"5500","PPM1E"
"5501","RNF26"
"5502","AP1G2"
"5503","CFLAR"
"5504","BAALC"
"5505","ARV1"
"5506","CSPG4"
"5507","LRFN4"
"5508","DNAH12"
"5509","COQ10A"
"5510","TMEM70"
"5511","TMEM134"
"5512","ACAD9"
"5513","TCAP"
"5514","HP1BP3"
"5515","INSM1"
"5516","PDLIM2"
"5517","PPARGC1B"
"5518","LEP"
"5519","CHRNA9"
"5520","CASP2"
"5521","EHBP1L1"
"5522","GH1"
"5523","TRIM72"
"5524","MID1"
"5525","B3GNT8"
"5526","CCDC65"
"5527","TAF7"
"5528","RAB8B"
"5529","CAMKK2"
"5530","C2orf69"
"5531","SPACA4"
"5532","IFT80"
"5533","KCNK10"
"5534","KCTD2"
"5535","MLXIP"
"5536","SEZ6"
"5537","STAB1"
"5538","USP39"
"5539","HNF4A"
"5540","NFKBIB"
"5541","CLSPN"
"5542","GNAI2"
"5543","PABPC1"
"5544","GBAS"
"5545","SHISA2"
"5546","NETO1"
"5547","SNX14"
"5548","EXD2"
"5549","ZNF366"
"5550","NPHP1"
"5551","ATAD5"
"5552","BVES"
"5553","HNRNPD"
"5554","CTXN1"
"5555","HSF5"
"5556","FUZ"
"5557","SLC35C1"
